,font,size,y1,y2,x1,x2,char,xspace,yspace
206,XPCBJJ+CMR10,9.963,516.739,526.702,307.131,309.899,i,0.0,0.0
207,XPCBJJ+CMR10,9.963,516.739,526.702,309.899,314.32599999999996,e,0.0,0.0
208,XPCBJJ+CMR10,9.963,516.739,526.702,314.32599999999996,321.52099999999996,w,-0.2789999999999395,0.0
209,XPCBJJ+CMR10,9.963,516.739,526.702,321.242,325.67,e,0.0,0.0
210,XPCBJJ+CMR10,9.963,516.739,526.702,325.67,329.57199999999995,r,4.184000000000026,0.0
211,XPCBJJ+CMR10,9.963,516.739,526.702,333.756,341.228,A,4.183999999999969,0.0
212,XPCBJJ+CMR10,9.963,516.739,526.702,345.412,349.287,t,0.0,0.0
213,XPCBJJ+CMR10,9.963,516.739,526.702,349.287,354.26800000000003,a,0.0,0.0
214,XPCBJJ+CMR10,9.963,516.739,526.702,354.26800000000003,359.80300000000005,b,0.0,0.0
215,XPCBJJ+CMR10,9.963,516.739,526.702,359.80300000000005,365.339,b,0.26900000000000546,0.0
216,XPCBJJ+CMR10,9.963,516.739,526.702,365.608,370.035,e,0.0,0.0
217,XPCBJJ+CMR10,9.963,516.739,526.702,370.035,375.57,d,4.185000000000002,0.0
218,XPCBJJ+CMR10,9.963,516.739,526.702,379.755,386.535,P,0.0,0.0
219,XPCBJJ+CMR10,9.963,516.739,526.702,386.535,394.14599999999996,D,0.0,0.0
220,XPCBJJ+CMR10,9.963,516.739,526.702,394.14599999999996,400.649,F,4.184000000000026,0.0
221,XPCBJJ+CMR10,9.963,516.739,526.702,404.833,410.092,v,0.0,0.0
222,XPCBJJ+CMR10,9.963,516.739,526.702,410.092,412.85900000000004,i,0.0,0.0
223,XPCBJJ+CMR10,9.963,516.739,526.702,412.85900000000004,417.287,e,0.0,0.0
224,XPCBJJ+CMR10,9.963,516.739,526.702,417.287,424.48199999999997,w,-0.2789999999999395,0.0
225,XPCBJJ+CMR10,9.963,516.739,526.702,424.20300000000003,428.63,e,0.0,0.0
226,XPCBJJ+CMR10,9.963,516.739,526.702,428.63,432.532,r,4.185000000000002,0.0
227,XPCBJJ+CMR10,9.963,516.739,526.702,436.717,442.25199999999995,u,0.0,0.0
228,XPCBJJ+CMR10,9.963,516.739,526.702,442.25199999999995,446.181,s,0.0,0.0
229,XPCBJJ+CMR10,9.963,516.739,526.702,446.181,448.949,i,0.0,0.0
230,XPCBJJ+CMR10,9.963,516.739,526.702,448.949,454.48400000000004,n,0.0,0.0
231,XPCBJJ+CMR10,9.963,516.739,526.702,454.48400000000004,459.465,g,4.175000000000011,0.0
232,XPCBJJ+CMR10,9.963,516.739,526.702,463.64,467.514,t,0.0,0.0
233,XPCBJJ+CMR10,9.963,516.739,526.702,467.514,473.04900000000004,h,0.0,0.0
234,XPCBJJ+CMR10,9.963,516.739,526.702,473.04900000000004,477.477,e,-343.70899999999995,0.0
235,XPCBJJ+CMR10,9.963,504.784,514.747,133.768,139.303,p,0.27899999999999636,-11.955000000000041
236,XPCBJJ+CMR10,9.963,504.784,514.747,139.582,144.563,o,0.0,0.0
237,XPCBJJ+CMR10,9.963,504.784,514.747,144.563,150.099,p,0.0,0.0
238,XPCBJJ+CMR10,9.963,504.784,514.747,150.099,155.634,p,0.0,0.0
239,XPCBJJ+CMR10,9.963,504.784,514.747,155.634,158.40200000000002,l,0.0,0.0
240,XPCBJJ+CMR10,9.963,504.784,514.747,158.40200000000002,162.829,e,0.0,0.0
241,XPCBJJ+CMR10,9.963,504.784,514.747,162.829,166.731,r,3.318000000000012,0.0
242,XPCBJJ+CMR10,9.963,504.784,514.747,170.049,172.81599999999997,l,0.0,0.0
243,XPCBJJ+CMR10,9.963,504.784,514.747,172.81599999999997,175.584,i,0.0,0.0
244,XPCBJJ+CMR10,9.963,504.784,514.747,175.584,181.11900000000003,b,0.0,0.0
245,XPCBJJ+CMR10,9.963,504.784,514.747,181.11900000000003,185.02200000000002,r,0.0,0.0
246,XPCBJJ+CMR10,9.963,504.784,514.747,185.02200000000002,190.003,a,0.0,0.0
247,XPCBJJ+CMR10,9.963,504.784,514.747,190.003,193.905,r,0.0,0.0
248,XPCBJJ+CMR10,9.963,504.784,514.747,193.905,199.16400000000002,y,-0.8269999999999982,0.0
249,XPCBJJ+CMR10,9.963,504.784,514.747,198.33700000000002,201.104,.,-67.33600000000001,0.0
250,SXMFFW+CMBX12,11.967,476.51,488.477,133.768,140.493,2,0.0,-28.274
251,SXMFFW+CMBX12,11.967,476.51,488.477,140.493,144.22899999999998,.,0.0,0.0
252,SXMFFW+CMBX12,11.967,476.51,488.477,144.22899999999998,150.954,2,13.448999999999984,0.0
253,SXMFFW+CMBX12,11.967,476.51,488.477,164.403,174.919,H,0.0,0.0
254,SXMFFW+CMBX12,11.967,476.51,488.477,174.919,181.644,3,-47.876000000000005,0.0
255,XPCBJJ+CMR10,9.963,458.506,468.469,133.768,136.536,l,0.0,-18.00400000000002
256,XPCBJJ+CMR10,9.963,458.506,468.469,136.536,139.303,i,0.0,0.0
257,XPCBJJ+CMR10,9.963,458.506,468.469,139.303,144.285,g,0.0,0.0
258,XPCBJJ+CMR10,9.963,458.506,468.469,144.285,149.82,h,-0.27899999999999636,0.0
259,XPCBJJ+CMR10,9.963,458.506,468.469,149.541,153.415,t,-0.27899999999999636,0.0
260,XPCBJJ+CMR10,9.963,458.506,468.469,153.136,160.33100000000002,w,-0.26900000000000546,0.0
261,XPCBJJ+CMR10,9.963,458.506,468.469,160.062,164.49,e,0.0,0.0
262,XPCBJJ+CMR10,9.963,458.506,468.469,164.49,167.257,i,0.0,0.0
263,XPCBJJ+CMR10,9.963,458.506,468.469,167.257,172.239,g,0.0,0.0
264,XPCBJJ+CMR10,9.963,458.506,468.469,172.239,177.774,h,-0.27899999999999636,0.0
265,XPCBJJ+CMR10,9.963,458.506,468.469,177.495,181.36900000000003,t,2.4909999999999854,0.0
266,XPCBJJ+CMR10,9.963,458.506,468.469,183.86,190.64,P,0.0,0.0
267,XPCBJJ+CMR10,9.963,458.506,468.469,190.64,198.25099999999998,D,0.0,0.0
268,XPCBJJ+CMR10,9.963,458.506,468.469,198.25099999999998,204.755,F,2.490000000000009,0.0
269,XPCBJJ+CMR10,9.963,458.506,468.469,207.245,212.78,d,0.0,0.0
